smiles,logp,reward
O=C1Nc2ccc(s2)Cc2ccc3c(c2Cl)OCC[C@@H]3N1,3.9510000000000023,1.8249104681421195
Cc1cc2c(C)n1-c1ccnc(c1)N1C(=O)/C(=C\2)C(=O)N(c2ccc(Cl)cc2)C1=O,4.039340000000003,1.7636196443670675
CCOc1ccc2cc1NC(=O)[C@H]1CCC(C2)N1c1cc(C)ccc1[N+](=O)[O-],3.834120000000003,1.6848817001262675
C[C@]12CCC(=O)N1[CH]CS2.O=COc1ccc(Cl)cc1Br,3.871290000000003,1.6359671660568282
COc1c2cc(Cl)cc1-c1cc(N)cc(F)c1SC2,4.342600000000002,1.605479214540907
Cc1cc2cc(CCS)ccc2nc1SCC(=O)Nc1ccc(S(=O)(=O)N(C)C)cc1,3.996620000000003,1.588298052582275
CC(=O)c1sc2ncn([C@@H](C)CC(C)(C)C)c(=O)c2c1C,3.9662200000000034,1.5843450785652191
COc1ccc(Cl)c2c1CSc1c(F)cc(N)cc1-2,4.342600000000002,1.5753319514122601
[NH3+][C@H](COCCC(S)(Br)Br)CSc1cccc(Br)c1,3.931800000000002,1.5725179145886896
C.CC(C)(C)OC(=O)N[CH]C(=O)Nc1cc(F)cc(Br)c1,3.8492900000000025,1.5690286866369478
COC1(OC(C)N)CC[C@@]2(C)[C@@H](CC[C@@H]3[C@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]32)C1,4.054000000000003,1.5598777145266682
COc1ccc(N2C[C@@H](C(=O)Nc3ccc4c(ccn4CCCS)c3)CC2=O)cc1,3.9614000000000034,1.5501361723198843
O=S(=O)(Nc1cnn(Cc2ccccc2CS)c1)c1ccc(Br)cc1,3.9245000000000023,1.5498000929800115
OO[C@H]([C@H]1CCc2cccnc21)C1(c2ccccc2)CCC1,4.091500000000003,1.5438299821639143
O=C(NC1(c2noc(CS)n2)CCCC1)c1ccc2ccc(Cl)cc2n1,3.900300000000002,1.543267482040558
NC(S)(Br)C1(CS)CCCC[C@H]1Nc1ccccc1[N+](=O)[O-],3.802700000000003,1.542759731408249
CCc1ccccc1Cn1cc(NS(=O)(=O)c2ccc(Br)cc2)cn1,4.057100000000003,1.539734296660673
CC1(CS)CCCC[C@H]1Nc1ccccc1[N+](=O)[O-],3.8854000000000037,1.538487193690077
CC[C@H](C)NC[C@@H](Sc1ncnc2ccsc12)C(C)C,4.196100000000003,1.5304949418944884
CC(C)(C)Oc1cccc([C@H](O)CNC(=O)NCc2cccc([N+]3=CCCC3)c2)c1,3.905300000000003,1.502201958409583
CCCCSc1nc2n(n1)[C@@H](c1sccc1C)C(C(=O)OC)=C(C)N2,4.002120000000002,1.4978844848920265
O=C(OCc1ccccc1)N1CCC[C@H]2c3ccccc3N[C@@H]2C1,3.996900000000002,1.4969095803010686
CC[C@H]1S/C(=N\N=C\c2ccc(N(C)C)cc2)N(Cc2ccccc2)C1=O,3.9967000000000033,1.4967108541812053
CCOc1ccc(N2CCN(c3ncnc(Nc4ccc(Cl)cn4)c3[N+](=O)[O-])CC2)cc1,3.9021000000000026,1.4941630992500856
Cc1cc(C)nc(-n2nc(C)cc2NC(=O)c2cccc3ccccc23)n1,3.9930600000000025,1.4931078316483628
C[C@@H]1C[C@H](c2ccc(F)cc2)CN1C(=O)c1cc(NC(=O)CCCl)ccc1O,4.116900000000003,1.4918265311411734
O=C(Cc1cc(F)ccc1F)Nc1ccc(NC(=O)c2ccco2)cc1,3.9913000000000016,1.4913750371765655
Cc1cc2cc(CC(N)(S)Cl)ccc2nc1SCC(=O)Nc1ccc(S(=O)(=O)N(C)C)cc1,3.8479200000000024,1.491072201182612
C[C@@H](c1ccc(-n2cncn2)cc1)N(C)C(=O)NCCCn1ccc2ccccc21,4.014700000000003,1.4855129594954144
Cc1cc(NC(=O)[C@@]2(C)Sc3ccccc3NC2=O)c2ccccc2n1,3.984820000000002,1.4850469867412692
CC(=O)c1sc(NC(=O)c2ccccc2NS(=O)(=O)c2ccc(C)cc2)nc1C,4.015640000000003,1.4846008428183186
COC(=O)c1ccccc1NC(=O)c1ccc(Cl)cc1I,3.983500000000002,1.483767830791935
Cc1cccc(CNC(=O)Nc2ccnn2C2CCCCC2)c1,4.0184200000000025,1.4819131596001625
CCNC(=O)c1cc(C)ccc1NC(=O)[C@H]1C[C@H]1c1ccccc1Cl,4.140320000000003,1.4807204068503754
Cc1onc(CCl)c1COc1ccc(C(=O)NC[C@@H]2COc3ccccc3O2)cc1,3.8706200000000033,1.4806796649489127
CC1(C)CCCC[C@H]1Nc1ccccc1[N+](=O)[O-],3.975500000000003,1.4760858955588119
CNC(=O)c1cc(NC(=O)N[C@H](c2ccccc2)C2CC2)ccc1Cl,3.972400000000002,1.473141300116779
CCc1ccc(CC)c([C@H](NC)C(F)(F)C(F)F)c1,3.9723000000000033,1.473046608932571
C[C@@H](CC(C)(C)C)[C@@H](O)CNC(=O)N[C@@H](c1cc(F)ccc1F)C1CC1,4.148300000000003,1.4727044165126522
Cc1ccc2oc(C(=O)Nc3ccc(C)c(C)c3)cc(=O)c2c1,3.9705600000000025,1.471401927261426
CCc1ccc([C@H](C)CC(=O)N[C@@H]2CC=CCC2)cc1,3.967500000000003,1.4685230024213103
Cc1ccc([C@@H]2[C@@H](C(=O)C(C)(C)C)N2S(=O)(=O)c2ccc(C)cc2)cc1,4.032840000000004,1.4682041748963988
Cc1ccc([C@H]2CC(=O)Nc3c2cnn3-c2ccc(C)cc2)cc1,3.9632400000000025,1.4645433851614669
COc1cccc(-c2nc(S(=O)(=O)c3ccc4c(c3)OCCO4)c(NCc3cccnc3)o2)c1,3.9613000000000023,1.462741888899588
CCc1ccc(C[C@@](C)(O)c2cc(F)cc(F)c2)s1,4.038900000000003,1.4625565501973217
COc1cc(NC(=O)N[C@@H](C)c2nc(C)cs2)ccc1OC(S)S,3.864820000000003,1.4593489362834078
Cc1cc(N[C@@H]2CCc3c(O)cccc32)ncc1Br,3.9575200000000015,1.4592510168060793
CCc1cc(N[C@@H]2CCc3c(O)cccc32)ncc1Br,4.211500000000002,1.452874009694673
CCCn1ccc2cc(NC(=O)[C@H]3CC(=O)N(c4ccc(OC)cc4)C3)ccc21,4.051500000000003,1.451022349025199
N=C1NC(=O)/C(=C\c2ccc(OCc3cccc(Cl)c3)cc2)S1,4.057670000000002,1.4454744863709839
C[C@H]([NH2+][C@@H]1CCCOc2c1ccc1ccccc21)c1nc(C(C)(C)C)no1,4.058600000000003,1.444643869261286
CC(C)CCOc1cccc([C@H]2c3c(-c4ccccc4O)n[nH]c3C(=O)N2[C@@H]2CCS(=O)(=O)C2)c1,3.9395000000000024,1.4429514380009452
O=c1c2cc(Cl)c(Br)cc2ncn1C[C@@H](O)CNc1ccc(Cl)cc1,3.9388000000000014,1.4423294383716558
Cc1ccsc1[C@](C)(O)[C@]1(C#N)CCCc2ccccc21,4.061900000000003,1.4417082587814267
CCN(CCCl)S(=O)(=O)c1ccc2c(c1)CCN2Cc1nc(-c2ccc(C)cc2)no1,3.8571200000000037,1.4394986293822538
N#Cc1cc2c(nc1N)CCCCCC2.c1ccoc1,3.4740800000000025,1.4383612187686101
COC[C@H](N[C@H]1CCc2cc(F)ccc21)c1ccc(F)c(F)c1,4.068500000000003,1.4358914365933526
CC1CCN(c2cc(NC(=O)Nc3ccc(CCl)c(F)c3)ncn2)CC1,4.234800000000003,1.4305374037956708
COc1ccc(NC(=O)CSc2ccc(C(C)=O)cc2F)cc1C,4.076120000000003,1.429264394305465
Cc1cccc(CN2CCO[C@@H](c3nc(C(S)(S)S)cs3)C2)c1C,4.233140000000005,1.4291197489925906
Cc1ccc(-c2nc(C[NH2+][C@H](C)CCC(Cl)(Cl)Cl)co2)cc1,4.252320000000003,1.4289527332922254
Cc1cccc(S(=O)(=O)[N-]c2nc3ccccc3nc2NC[C@H]2CCCO2)c1,3.9232200000000015,1.4286948123107797
CC[C@H](NC(=O)[C@@H]1CC(=O)N(Cc2ccc(C)cc2)C1)c1ccc(C)cc1,3.9194400000000025,1.4254460650033338
N#CC1=C(N)Oc2[nH]nc(-c3ccc(Cl)cc3)c2[C@@H]1c1ccc([N+](=O)[O-])s1,3.917980000000001,1.4241973346148877
N=C1/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)N=C2SC(c3cccnc3)=NN12,3.917270000000003,1.423591292381298
CC(C)c1cc(C(=O)NCC#Cc2ccccc2)c2cnn(C(C)C)c2n1,3.917100000000003,1.423446301597565
CCCN1CC(=O)N2[C@H](c3ccc(Cl)cc3)c3[nH]c4ccccc4c3C[C@H]2C1=O,3.9162000000000026,1.4226794611551967
O=c1oc2ccccc2cc1SCc1ccccc1,4.085300000000003,1.4214042200313255
CC(C)C(=O)Nc1ccc(C(=O)NC(C)(C)c2cccc(F)c2)cc1,4.085300000000003,1.4214042200313255
CC[C@@H](NC(=O)C[C@H]1C=CCC1)c1nc(C(F)(F)F)cs1,4.085500000000003,1.4212344541685833
Cn1c(SCc2ccccc2F)nnc1-c1ccccc1,3.9135000000000026,1.420386562356192
Cc1cccc(CN2CCO[C@@H](c3nc(CS)cs3)C2)c1C,3.7632400000000037,1.4196754243165859
O=S(=O)(Nc1ncn(Cc2ccc(Cl)c(Cl)c2)n1)c1ccc(Cl)cc1,4.087400000000002,1.4196247930844197
O=C(C[n+]1cccc(Br)c1)c1ccc(F)c2ccccc12,3.911800000000002,1.4189487226612774
CC(C)(C)CC(=O)Nc1ccc(Cl)c(C(=O)OCC2(C)COC2)c1,3.908000000000002,1.4157509157509174
CC(C)n1c([C@H](C)[NH2+][C@@H]2CCCc3nc(CF)sc32)nc2ccccc21,4.245200000000003,1.4151528074703392
C[C@H](NC(=O)NCCC[C@@H]1CCCC[C@H]1O)c1ccc(Cl)s1,4.0930000000000035,1.4149130832570878
C[CH]C(=O)Nc1nc(C)c(C)s1.Cc1cc2nnc(S)n2c2ccccc12,4.402250000000003,1.414632134389559
