smiles,logp,reward,episode
Clc1ccc(-c2nnc(CSc3nc(C(I)(I)I)nc4sc5c(c34)CCC5)o2)cc1,7.591000000000003,8.203903225806455,4647
CC(c1ccccc1NC(=O)[C@H](C)[S@](=O)Cc1ccc(Cl)cc1Cl)C(I)(I)I,7.3316000000000034,7.937369230769234,2529
O=C1c2[nH]nc(-c3cc(Cl)ccc3O)c2[C@H](c2cccc(OCCC(Br)(I)I)c2)N1Cc1cccnc1,7.2637000000000045,7.853443589743593,4843
Cc1cc(OCCCOc2ccc(/C=C3\SC(=S)N(C)C3=O)cc2)ccc1C(I)(I)I,7.089220000000004,7.700331111111115,1882
Cc1cc(OCCCOc2ccc(/C=C3\SC(=S)N(C)C3=O)cc2)ccc1C(Br)(I)I,7.049120000000004,7.667301818181822,2439
Cc1ccnc(Cl)c1OCc1csc(-c2cccc(OC(I)(I)I)c2)n1,7.041020000000002,7.642871851851855,2974
CN(Cc1ccc(Cl)s1)C(=O)c1ccc(OCc2cscn2)c(OC(I)(I)I)c1,7.004300000000002,7.601074193548389,1445
IC(I)(I)c1nc(Oc2cccnc2)c2c(-c3ccccc3)csc2n1,6.960900000000002,7.598154901960787,3687
Cc1cc(OCCCOc2ccc(/C=C3\SC(=S)N(C)C3=O)cc2)ccc1C(Br)(Br)Br,6.968920000000004,7.5726935849056645,1144
CN(Cc1ccc(Cl)s1)C(=O)c1ccc(OCc2cscn2)c(OC(Br)(I)I)c1,6.964200000000003,7.567374603174605,729
C[C@@H](N[C@@H](CCOC(I)(I)I)c1ccc(Cl)cc1)c1nc2ccccc2n1C,6.941600000000004,7.550690909090913,1375
Cc1ccc(OC(I)(I)I)c2nc(NC(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3)sc12,6.952920000000002,7.548158095238097,1787
Cc1cc(C(I)(I)I)c(C)cc1-c1csc(NC(=O)CSc2nnc(-c3ccco3)n2C)n1,6.961540000000002,7.542422352941179,4172
CN(Cc1ccc(Cl)s1)C(=O)c1ccc(OCc2cscn2)c(OC(Br)(Br)I)c1,6.924100000000003,7.527274603174606,3200
CC(C)[C@H](NC(=O)c1ccccc1C(I)(I)I)C(=O)N1CCC(c2nc3ccccc3s2)CC1,6.872200000000006,7.483311111111116,2618
