iteration,best_logp,avg_logp,num_valid
1,4.6426200000000035,2.498402083333335,24
2,5.298920000000004,2.3691213333333345,30
3,5.325900000000003,2.7273607317073187,41
4,4.369800000000004,2.4483417777777787,45
5,4.917700000000003,2.737639772727274,44
6,4.946800000000005,2.271775681818183,44
7,5.1430000000000025,2.6396809523809535,42
8,4.980800000000003,2.4926235555555576,45
9,5.885800000000003,3.003536136363638,44
10,4.890000000000005,2.63698680851064,47
11,4.960920000000003,2.353104047619049,42
12,6.528200000000002,2.8599518750000015,48
13,5.464800000000002,3.0438915000000017,40
14,5.338100000000004,2.611739574468086,47
15,5.4841200000000025,3.0902672093023273,43
16,5.4841200000000025,2.838766200000001,50
17,4.748420000000004,2.80771224489796,49
18,5.265500000000004,2.8931822448979605,49
19,4.811900000000004,2.245585714285715,49
20,6.0077000000000025,2.8861787500000013,48
21,5.450540000000002,2.938092978723405,47
22,5.015400000000003,2.7616791836734707,49
23,5.533220000000005,2.8541444000000014,50
24,4.8865000000000025,2.7878030434782626,46
25,5.185000000000003,3.240943200000002,50
26,5.916420000000003,2.4866493877551035,49
27,5.547400000000003,2.7151489795918375,49
28,5.767700000000004,3.3623626086956544,46
29,5.452320000000003,2.89428170212766,47
30,5.767700000000004,2.8694206000000015,50
31,7.019520000000003,2.949036000000001,50
32,5.465720000000005,3.0266192000000025,50
33,5.825380000000004,3.228473333333335,48
34,6.528200000000002,3.2836158333333354,48
35,5.711700000000003,3.1163337500000012,48
36,5.4841200000000025,3.4432833333333352,48
37,5.701400000000004,3.019623125000001,48
38,6.280820000000004,3.3390193750000017,48
39,5.465720000000005,3.0607932000000018,50
40,5.338100000000004,2.810376458333334,48
41,5.437500000000002,3.18331755102041,49
42,5.863540000000003,3.329047500000002,48
43,6.528200000000002,3.676090416666668,48
44,6.161400000000003,3.2180357142857154,42
45,5.907600000000003,3.2392950000000016,48
46,6.017000000000003,3.3031565306122466,49
47,6.031500000000003,3.2337542857142867,49
48,5.726920000000005,3.269928000000002,50
49,5.9235200000000034,3.250102000000002,50
50,6.393420000000005,3.360314042553194,47
51,6.333600000000005,3.3637718750000016,48
52,5.9571400000000025,3.6715938000000024,50
53,5.9571400000000025,3.0137832000000015,50
54,6.528200000000002,3.1991596000000015,50
55,5.452320000000003,3.331931836734696,49
56,6.0889200000000026,3.44668448979592,49
57,5.928120000000002,3.485625744680854,47
58,6.821300000000004,3.710680204081635,49
59,5.659800000000004,3.705781200000002,50
60,6.133500000000006,3.276160851063831,47
61,6.245300000000006,3.3217585416666684,48
62,5.820720000000004,3.117113469387757,49
63,6.528200000000002,3.0917396000000013,50
64,6.198120000000002,3.4764126000000015,50
65,5.888120000000004,3.29726510638298,47
66,6.528200000000002,3.6217514583333354,48
67,6.070600000000002,3.4667306122448998,49
68,7.211300000000004,3.732575918367349,49
69,6.1018200000000045,3.200573333333336,48
70,7.775200000000004,3.5635160000000017,50
71,6.393420000000005,3.430061632653063,49
72,6.821300000000004,3.468901836734697,49
73,5.547620000000004,3.4127348000000017,50
74,5.870100000000004,3.813240816326534,49
75,6.821300000000004,3.351714897959185,49
76,6.821300000000004,3.602549600000002,50
77,6.333600000000005,3.446638400000003,50
78,5.823020000000004,3.6610735416666684,48
79,5.805800000000001,4.0416185106383,47
80,5.684100000000003,3.606532340425534,47
81,6.751900000000005,4.189496250000002,48
82,6.582520000000004,3.757978400000003,50
83,6.751900000000005,3.7339998000000025,50
84,5.326380000000002,3.392549795918369,49
85,6.128020000000003,3.4743531914893646,47
86,6.333600000000005,3.600048800000002,50
87,5.996020000000004,3.41107755102041,49
88,6.139400000000002,3.6677726530612267,49
89,6.0241000000000025,3.768035416666669,48
90,6.074520000000002,3.2489348936170233,47
91,5.832980000000003,3.7780125531914917,47
92,6.679600000000004,3.79111285714286,49
93,6.754100000000003,3.8755575000000024,48
94,5.726920000000005,3.7474972916666687,48
95,6.531720000000003,4.18663021276596,47
96,6.884000000000003,3.806915000000002,46
97,6.056740000000002,3.643925200000001,50
98,6.056740000000002,3.9065753061224515,49
99,6.147300000000005,3.7029724000000015,50
100,5.530600000000002,3.22038510638298,47
