iteration,best_logp,avg_logp,num_valid
1,4.838600000000003,2.774327692307694,13
2,5.531600000000003,2.9643993750000015,32
3,4.748420000000004,2.6325074193548406,31
4,5.1430000000000025,2.596784736842107,38
5,6.060000000000004,2.5799106060606074,33
6,5.768400000000005,2.6400419512195135,41
7,5.456100000000003,2.951111081081083,37
8,4.675700000000004,2.7805806382978733,47
9,5.601300000000003,2.9937014285714305,42
10,4.995800000000003,2.780262272727274,44
11,4.997100000000004,2.901467446808512,47
12,5.392700000000004,2.7458129166666683,48
13,5.1609200000000035,2.8958893617021295,47
14,5.768900000000001,2.631407555555557,45
15,5.392700000000004,2.874353125000001,48
16,5.815800000000004,3.3532608333333354,48
17,5.248940000000003,2.7952960416666683,48
18,5.639900000000005,3.063300816326532,49
19,5.316900000000005,3.2331885106383003,47
20,5.100090000000004,2.9661858000000016,50
21,5.537040000000004,3.2570252173913063,46
22,6.178700000000004,3.273880000000002,48
23,5.968220000000001,3.4096532653061242,49
24,6.373700000000005,3.322104680851066,47
25,6.552900000000005,3.5316651111111126,45
26,5.8472200000000045,3.524233617021278,47
27,6.5523200000000035,3.0536287500000014,48
28,6.019400000000004,3.159020400000001,50
29,6.168120000000003,3.545155555555558,45
30,5.807800000000002,3.1061359183673485,49
31,6.872200000000006,3.2827814285714303,49
32,6.065370000000003,3.4850644680851084,47
33,6.034040000000004,3.6516889130434813,46
34,5.722900000000003,3.481755600000002,50
35,5.545220000000006,3.4599787755102063,49
36,6.952920000000002,3.4255473913043506,46
37,5.778100000000003,3.277723265306124,49
38,6.952920000000002,3.6034725000000023,48
39,5.138920000000004,2.8362674000000014,50
40,5.503900000000002,3.462218775510206,49
41,6.220500000000001,3.6864804081632676,49
42,6.412180000000004,3.4365361224489814,49
43,6.315500000000004,3.527668958333335,48
44,7.038700000000004,3.4593066666666688,48
45,6.076220000000004,3.75831021276596,47
46,6.473620000000005,3.9171668750000026,48
47,5.990400000000004,3.3020240816326556,49
48,6.150120000000004,3.309732448979594,49
49,6.043820000000003,3.3113212000000014,50
50,5.6487000000000025,3.4819378000000025,50
51,6.919120000000005,3.769079166666669,48
52,6.191000000000004,3.4704093750000014,48
53,5.834200000000004,3.492809387755104,49
54,6.374740000000004,3.3055870000000023,50
55,7.855400000000004,3.8931620833333356,48
56,6.337100000000005,3.671315208333336,48
57,5.431600000000003,3.1435279166666685,48
58,6.552320000000003,3.227055833333335,48
59,6.008320000000002,3.7031485714285735,49
60,6.492000000000004,3.712965306122451,49
61,7.4254200000000035,3.6587832653061243,49
62,6.826900000000002,4.090487959183676,49
63,5.8472200000000045,3.307253191489363,47
64,6.554620000000004,3.9462072727272752,44
65,7.659200000000004,3.6501929166666685,48
66,7.291500000000004,3.864381428571431,49
67,5.997240000000002,3.829738541666669,48
68,6.043820000000003,3.7546648979591857,49
69,6.644420000000003,3.7816716326530626,49
70,6.652020000000002,3.7054208163265336,49
71,5.874900000000003,3.7438180000000023,50
72,6.500700000000003,3.4335334693877573,49
73,6.462600000000004,3.9470191666666694,48
74,6.502420000000004,3.629296458333336,48
75,6.167300000000005,3.94447448979592,49
76,6.072800000000003,3.5708022448979615,49
77,6.248320000000002,3.3544658333333355,48
78,6.199800000000005,3.839542500000002,48
79,6.826900000000002,3.7845236734693897,49
80,6.513720000000005,3.6493200000000017,48
81,6.218800000000003,3.888891250000002,48
82,5.722900000000003,3.6576831914893626,47
83,5.863120000000004,3.197688979591838,49
84,6.943100000000001,3.8688192000000026,50
85,6.867000000000002,3.6794044000000015,50
86,6.554620000000004,3.531691250000002,48
87,6.410240000000003,3.559954693877553,49
88,6.638100000000002,3.88281979591837,49
89,6.941600000000004,3.9036065306122474,49
90,6.552900000000005,3.8728769387755126,49
91,7.251400000000004,4.138802708333336,48
92,7.4254200000000035,4.0815268000000025,50
93,6.681000000000004,3.8779466666666687,48
94,6.138800000000004,3.9336197959183696,49
95,6.410240000000003,4.032874693877553,49
96,6.129020000000002,3.706651632653063,49
97,7.895500000000004,4.0671424489795935,49
98,6.552900000000005,3.980452083333336,48
99,6.572200000000004,4.165772653061227,49
100,6.325500000000005,3.900031739130436,46
