smiles,logp,reward,episode
CSc1ccc(CN2C(=O)C(O)=C(c3ccc(OC(Br)(Br)Br)cc3)[C@H]2c2ccccc2F)cc1,7.775200000000004,8.366866666666672,3495
CC(c1ccccc1NC(=O)[C@H](C)[S@](=O)Cc1ccc(Cl)cc1Cl)C(Br)(Br)Br,7.211300000000004,7.801300000000005,3352
Cc1cc(C[C@H](C)N[C@@H](c2ccc(Cl)s2)C(Br)(Br)C(Br)(Br)Br)[nH]n1,7.019520000000003,7.679897358490569,1531
CN(Cc1ccc(Cl)s1)C(=O)c1ccc(OCc2cscn2)c(OC(Br)(Br)Br)c1,6.884000000000003,7.474163934426232,4793
C[C@@H](N[C@@H](CCOC(Br)(Br)Br)c1ccc(Cl)cc1)c1nc2ccccc2n1C,6.821300000000004,7.423151851851856,2889
CC(C)[C@H](NC(=O)c1ccccc1C(Br)(Br)Br)C(=O)N1CCC(c2nc3ccccc3s2)CC1,6.751900000000005,7.356738709677424,4044
C[C@@H](NC(=O)c1csc(-c2ccc(OC(Br)(Br)Br)cc2)n1)c1ccc(F)c(F)c1,6.754100000000003,7.3523142857142885,4606
C[C@H](CC(=O)N[C@@H]1CC=CCC1)c1ccc(C(Br)C(Br)(Br)Br)cc1,6.679600000000004,7.322457142857147,4584
BrC(Br)(Br)Oc1ccc(-c2nnc(-c3cc4ccccc4[nH]3)s2)cc1,6.528200000000002,7.1615333333333355,556
COc1cc([C@@H]2Oc3ccc(C)cc3C3=Nc4ncnn4[C@@H](c4cccs4)[C@@H]32)ccc1OC(Br)Br,6.582520000000004,7.141343529411769,4062
COc1cc(Nc2nc3ccc(C)cc3s2)ccc1OC(Br)(Br)Br,6.531720000000003,7.111265454545457,4714
Cc1oc(C(Br)(Br)Br)cc1-c1nnc(CN(Cc2ccco2)C2CCCC2)o1,6.470820000000004,7.076083157894741,3486
Cc1cc(OCCCOc2ccc(/C=C3\SC(=S)N(C)C3=O)cc2)ccc1C(Br)Br,6.4623200000000045,7.073431111111115,2132
O=C(CN(C(=O)/C=C/c1cccc(Br)c1)C(Br)(Br)Br)Nc1ccccc1Cl,6.379000000000003,6.999370370370373,4747
Cc1ccc(COc2ccc([C@H]3C4=C(CC(C)(C)CC4=O)Nc4nnnn43)cc2OC(Br)(Br)Br)cc1,6.393420000000005,6.974302352941182,2478
Cc1sc(NC(=O)[C@H](C)Sc2nnc3cc(C)c4ccccc4n23)nc1C(Br)(Br)Br,6.370140000000003,6.96691419354839,4614
CC(CCNC(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)C(Br)(Br)Br,6.3521000000000045,6.935433333333338,4709
COc1cc([C@@H](C)NC(=O)N(C)[C@H](C)c2ccccc2)ccc1OC(Br)(Br)Br,6.333600000000005,6.918706382978728,2518
Cc1c(C(=O)COC(=O)c2cc(Cl)c3c(c2)OCCCO3)cc(C(Br)(Br)Br)n1C1CC1,6.280820000000004,6.877594193548391,1862
CC(C)[C@H](NC(=O)c1ccccc1C(Br)Br)C(=O)N1CCC(c2nc3ccccc3s2)CC1,6.245300000000006,6.835463934426235,3019
CC(C)Oc1ccc([C@@H](C)NC(=O)c2cc3c(C(Br)(Br)Br)nn(C)c3s2)cc1,6.208000000000005,6.817090909090914,3487
Cc1ccnc(Cl)c1OCc1csc(-c2cccc(OC(Br)Br)c2)n1,6.198120000000002,6.807210909090911,3164
CC1(C)C[C@H](OC[C@@H]2CSc3ccccc32)C[C@H](C(C)(C)C)C1,6.133500000000006,6.766153061224496,2953
CN(Cc1ccc(Cl)s1)C(=O)c1ccc(OCc2cscn2)c(OC(Br)Br)c1,6.161400000000003,6.75817419354839,1700
CC(c1nnc([N-]S(=O)(=O)/C=C/c2ccc(Cl)cc2)s1)C(Br)(Br)Br,6.139400000000002,6.7457829787234065,4386
O=S(=O)(c1ccc2c(c1)[C@H]1C=CC[C@@H]1[C@H](c1cccnc1)N2)N1CCC(C(Br)(Br)Br)CC1,6.147300000000005,6.739607692307697,4922
Cc1c(C(Br)(Br)Br)sc2nc(S[C@H](C(=O)NC3CC3)c3ccc(F)cc3)nc(N)c12,6.128020000000003,6.72479419354839,4243
Cc1cc(C(C)(Br)Br)ccc1NC(=O)C1CCN(C(=O)c2ccccc2Cl)CC1,6.1018200000000045,6.715027547169816,3434
Cc1ccc(OC(Br)Br)c2nc(NC(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3)sc12,6.110020000000003,6.705258095238098,3499
Cc1cc(C(Br)(Br)Br)cc2oc(=O)cc(CNC(=O)c3ccccc3Br)c12,6.0889200000000026,6.685073846153848,2768
Clc1ccc(-c2nnc(CSc3nc(CBr)nc4sc5c(c34)CCC5)o2)cc1,6.070600000000002,6.683503225806454,3301
Cc1ccc(-c2cc(C(=O)Nc3nnc(SCCC(Br)(Br)Br)s3)no2)cc1,6.074520000000002,6.674520000000002,4479
Cc1ccccc1-n1c(C)nnc1SCC(=O)Nc1cc(Cl)ccc1C(Br)Br,6.056740000000002,6.660188275862071,4804
CSc1ccc([C@@H](CC(=O)OC(Br)(Br)Br)NC(=O)c2cc(F)ccc2C)cc1,6.056420000000003,6.650759622641512,4600
C[C@@H](NC(=O)c1csc(-c2ccc(OC(Br)Br)cc2)n1)c1ccc(F)c(F)c1,6.031500000000003,6.629714285714289,2305
Cc1c(C(=O)Nc2ccccc2OC(Br)Br)sc(NC(=O)c2ccc(F)cc2)c1C#N,6.0241000000000025,6.620591228070178,4447
O=C(NCc1cc(F)cc(OC(Br)(Br)Br)c1)N(CCC(F)(F)F)C1CCC1,6.017000000000003,6.618851851851855,2275
CC(=O)c1ccc(NC(=O)C(Br)(Br)Br)c(OCc2ccc(Br)cc2)c1,6.0077000000000025,6.607700000000002,1000
Cc1cccc(-c2nc3ccccc3c(=O)n2NCc2cccc(OC(Br)(Br)Br)c2O)c1,5.996020000000004,6.589240338983055,4322
C[C@]1(C(=O)Nc2cc(C(Br)(Br)Br)nc3ccccc23)Sc2ccccc2NC1=O,5.971400000000002,6.580490909090911,4729
